,PPPP,ST,PTI,PML-Q,MQMP,IND,MMA,MQM,PPP-SB,PML-N,NMP,PAT,PML-F,TI,PMKP,LPP,PFP,SURA,PMA,PIT,PML-Z,PML-J,ANP,AQP,PAP,LPP-K,PKMAP,BNDP,JWP,QJP,IP,PWrP,BNP,BNM,IMH,KJPP,JQM,BNC,TJP,PWP,PSDP,PJAP,MJH,PPP-S,HQM,PDP,PQA,PSP,SPP,TPP,QIP,MNAKA,PGP,PML-Jinnah,NPP-WG,JUP-NS,PATI,THP,MM,SSMP,PSPP,MIT,NWP,District
0,0.14830574916906797,0.044030084639096946,0.020092101726853075,0.020241078010011477,0.03225147134206442,4.06357430631704e-05,0.2598743059619956,0.3653023687776549,0.005497241960579184,0.02985436354050417,0.0018853565566797027,0.0043152243924806195,0.00016574304368413757,3.905315622726984e-05,3.0987299825142104e-05,0.00035825120391381164,0.000791892513459652,0.00045430964405113986,0.01324842303631186,6.479021818946191e-05,0.0006746475677002823,6.1010461151849204e-05,0.007306017706737119,5.091397299186996e-05,0.00032821863227337815,2.8475069729195143e-05,0.00012719373884655273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008036672834748185,0.002077270360338118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3601940264463571e-05,karachi
1,0.10971094970412473,0.0,0.010041604190326094,0.14363388599209995,0.0,0.0,0.27950324981878116,0.0029799537620843557,0.0,0.04702173806847502,0.0,0.0022391382963923203,0.004766949152542373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00585110770306717,0.0,0.0,0.0,0.10087023008395361,0.02650620345436688,0.0029113084216236622,0.0006316894729711421,0.0002557241566183444,0.000477613096637755,0.06524366119680625,0.0030907379930492627,0.013733269348114502,0.00022767979114173825,0.0013259635247939694,0.010342067407531847,0.0001916243589215103,0.003813636501624116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,quetta
2,0.0013835519413146913,0.0,0.00040659751024245893,0.15211760884243136,0.0,0.0,0.48724014471914984,0.0,0.0,0.0002779662739700514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047307934255067005,0.0,0.0,0.0,0.20362951079793956,0.0,0.0,0.0,0.0,0.0056271206791509345,0.0,0.0,0.0,0.00018523508015627104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pishin
3,0.036474254922773466,0.0,0.0,0.04546812805169283,0.0,0.0,0.28537968115601037,0.0,0.0,0.00018928550563767016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15208160145142813,0.0,0.0,0.0,0.3743181990149293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00204431350148814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,killa
4,0.06395990191966396,0.0,4.7276853252647505e-05,0.19924145834701487,0.0,0.0,0.1943439918688473,0.0,0.0,0.09062554296926317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006488823889188806,0.0,0.0,0.0,0.12478602470009204,0.0,0.0,0.0,0.0,0.0,0.0,0.0054667734594505265,0.0,0.034984871406959155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,loralai
5,0.009666423266455896,0.0,0.006572991670957839,0.01950223867010203,0.0,0.0,0.330866772699116,0.0,0.0,0.0032051328461507626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16491376806410785,0.0,0.0,0.0,0.19204242919732512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045917856044265855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,zhob
6,0.05096308186195827,0.0007070243827868226,0.001783091350771143,0.2778821973320806,0.0,0.0,0.031046136491856113,0.0,0.0,0.000171978903921119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008053923507146489,0.0,0.0,0.0,0.027438646100421293,0.0,0.3581957438949438,0.0,0.0,0.0,0.0,0.04746553867013163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sibi
7,0.1999896693002067,0.0,0.0,0.29537732472587225,0.0,0.0,0.06417889946843204,0.0,0.0,0.0031711153836550226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11255473290343125,0.0,0.0,0.0,0.001617214835717656,0.0,0.0,0.0,0.11873749404675947,0.0009305003991981754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nasirabad
8,0.1775432234793789,0.0,0.005443254269028677,0.0,0.0,0.0,0.043321270734914576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011474327224698697,0.0,0.0,0.0,0.0,0.0654498125213256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004265037697429971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,kachhi
9,0.028656009518548593,0.0,0.0,0.014496169711255155,0.0,0.0966855572728834,0.4464798050376267,0.0,0.0,0.0,0.0,0.0005107051659791789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1124560352966145,0.0,0.0,0.0,0.0,0.16937015073805353,0.09636613631899431,0.0,0.0,0.0,0.008342250227876194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,kalat
