,ANP,PPP,IND,AQP,JUI,PTI,PPP-SB,NPP-WG,HPG,PKMAP,TIP,PAP,PML-N,PML-J,JUI-S,PML-J Chattha,JUP-Noorani,PPP-ZAB,PML-Q Shuja,NPP,JMP,PSL,MJAH,MIP,PDP,KT,TI,AI,WP,SI,AIMP,SNP,JWP,PMI,UNA,MQM-H,MKP-KBG,AT,PKQP,PML-F,MWM,PakNP,ST,BNP,BNM,KJPP,JQM,JIP,District
71,0.004608952861923377,0.10244393973606397,4.662171465992712e-05,0.0,0.0009945797652971768,0.016096477628978745,0.01654782125543096,6.207164101900943e-05,0.5613524705641441,0.0006955038041101864,0.0,0.0,0.2548950152329869,0.0,0.0,0.0009577431246413026,4.087448854034383e-05,0.001174928752581902,0.0,0.0,0.0,0.0,0.0,0.0,0.0004772184465874256,0.0,0.0,0.0,6.45477782654721e-05,0.0001965121249415484,0.0,0.0,0.0,0.0,0.0,0.008951768349789647,0.0,0.0,0.00017191378748575636,0.0005345014804173496,0.00021651179545916388,3.029687240213556e-05,0.0,0.0,0.0,0.0,0.0,0.0,karachi
72,0.0,0.15738629127026443,0.0,0.0,0.005374509469373827,0.01868937543244419,0.08195749721335532,0.0,0.450126484564926,0.0,0.0,0.0,0.193614120811207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007511688446246098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004076583713164501,0.0,0.08038487186316673,0.0005727935262144441,0.0,0.0,0.0,0.0,0.0,0.0011202776734487716,0.0,0.0,0.0,0.0,0.0,malir
73,0.014980656844184707,0.15980281870478594,0.0,0.0,0.17102459278770085,0.014285583632855012,0.001966325532051106,0.0,0.011733933291263113,0.1297500480149258,0.0,0.0,0.23102953146578137,0.006466010005395963,0.0,0.0,0.0,0.0,0.0009602985156528658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02399831719117257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12532352914277353,0.008221984434018345,0.005057572182438427,0.0,0.0,quetta
74,0.012191376570657907,0.020123115544338956,0.0015222529343428275,0.0,0.34018347153787604,0.0,0.0,0.0,0.0,0.29894911135146685,0.0,0.0,0.022887206398803563,0.30303515870154496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011083069609689007,0.0,0.0,pishin
75,0.004540627631916218,0.21082793218352924,0.0,0.0,0.26407045296422427,0.011058625361602402,0.0,0.0,0.0,0.05152147643633967,0.0,0.0,0.3740158921967117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012559961917316636,0.011186788238309715,0.0,0.0,loralai
76,0.0,0.008328690807799443,0.0,0.0,0.4088857938718663,0.01573816155988858,0.0,0.0,0.0,0.2,0.0,0.0,0.11835654596100278,0.0,0.1674651810584958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06016713091922005,0.0,0.0,zhob
77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4312067142764677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5687932857235324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,kachhi
78,0.03857541946168387,0.01907024205824788,0.0,0.0,0.0903327255390689,0.0,0.0,0.0,0.0,0.16209705749510697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4897371986818113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03290453169173121,0.0,0.0,0.0,sibi
79,0.0,0.13900987896873204,0.0,0.0,0.04733749745148555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.050210368283506016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24778974292439715,0.012140196096602598,0.0,0.11302429892684374,0.0,jaffarabad
80,0.0,0.0,0.0,0.0,0.2628339906996731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04625608127810433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41091790850074433,0.24808545250847927,0.0,0.0,0.015439156524808545,kalat
81,0.0,0.019292537870153552,0.022525229500383364,0.0,0.0,0.0,0.01655718341380525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.530803821207286,0.41082122800837184,0.0,0.0,0.0,khuzdar
82,0.0,0.20123573328756544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5668239938213335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030532909980262594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09360679653308161,0.07369776023341629,0.0,0.0,0.0,lasbela
83,0.0,0.0,0.0,0.0,0.07258904109589041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5457260273972603,0.3816849315068493,0.0,0.0,0.0,turbat
