Position,Candidate,Party,Votes,% Vote Share,Registered Votes,Valid Votes,Rejected  Votes,Turnout,constituency,Assembly,Year
Winner,Haji Lal Karim,IND,14519,28,78736,50089,1319,65%,NA-32 Tribal Area-VI (Bajaur Agency),National,1997
2,Mian Shah Jehan,IND,8009,16,78736,50089,1319,65%,NA-32 Tribal Area-VI (Bajaur Agency),National,1997
3,M. Dawood Khan,IND,5631,11,78736,50089,1319,65%,NA-32 Tribal Area-VI (Bajaur Agency),National,1997
4,Bismillah Khan,IND,5380,10,78736,50089,1319,65%,NA-32 Tribal Area-VI (Bajaur Agency),National,1997
5,Shahabuddin Khan,IND,3748,7,78736,50089,1319,65%,NA-32 Tribal Area-VI (Bajaur Agency),National,1997
6,Haji Gulzada,IND,2433,5,78736,50089,1319,65%,NA-32 Tribal Area-VI (Bajaur Agency),National,1997
7,Molvi Abdul Haleem,IND,2388,5,78736,50089,1319,65%,NA-32 Tribal Area-VI (Bajaur Agency),National,1997
8,Said Abdul Manan jan,IND,1089,2,78736,50089,1319,65%,NA-32 Tribal Area-VI (Bajaur Agency),National,1997
9,M. Akbar,IND,727,1,78736,50089,1319,65%,NA-32 Tribal Area-VI (Bajaur Agency),National,1997
10,Malik Mahboob Jan,IND,680,1,78736,50089,1319,65%,NA-32 Tribal Area-VI (Bajaur Agency),National,1997
11,Umar Khitab Sharifkhanvi,IND,566,1,78736,50089,1319,65%,NA-32 Tribal Area-VI (Bajaur Agency),National,1997
12,M. Nawaz Khan,IND,565,1,78736,50089,1319,65%,NA-32 Tribal Area-VI (Bajaur Agency),National,1997
13,Eng. Afsar Khan,IND,535,1,78736,50089,1319,65%,NA-32 Tribal Area-VI (Bajaur Agency),National,1997
14,Akhunzada Chittan,IND,487,1,78736,50089,1319,65%,NA-32 Tribal Area-VI (Bajaur Agency),National,1997
15,Burhanuddin Khan,IND,484,1,78736,50089,1319,65%,NA-32 Tribal Area-VI (Bajaur Agency),National,1997
16,Mian Habib-ur-Rehman,IND,479,1,78736,50089,1319,65%,NA-32 Tribal Area-VI (Bajaur Agency),National,1997
17,Eng. Fazli Karim,IND,400,1,78736,50089,1319,65%,NA-32 Tribal Area-VI (Bajaur Agency),National,1997
18,Khaista Gul,IND,307,1,78736,50089,1319,65%,NA-32 Tribal Area-VI (Bajaur Agency),National,1997
19,M. Ihsanullah,IND,257,0,78736,50089,1319,65%,NA-32 Tribal Area-VI (Bajaur Agency),National,1997
20,Haji Rahman,IND,254,0,78736,50089,1319,65%,NA-32 Tribal Area-VI (Bajaur Agency),National,1997
21,Hazrat Rasool,IND,247,0,78736,50089,1319,65%,NA-32 Tribal Area-VI (Bajaur Agency),National,1997
22,Bashirullah,IND,191,0,78736,50089,1319,65%,NA-32 Tribal Area-VI (Bajaur Agency),National,1997
23,M. Rahim,IND,179,0,78736,50089,1319,65%,NA-32 Tribal Area-VI (Bajaur Agency),National,1997
24,Hafiz M. Jan,IND,177,0,78736,50089,1319,65%,NA-32 Tribal Area-VI (Bajaur Agency),National,1997
25,Adam Khan,IND,170,0,78736,50089,1319,65%,NA-32 Tribal Area-VI (Bajaur Agency),National,1997
26,Sahabzada Bahauddin,IND,142,0,78736,50089,1319,65%,NA-32 Tribal Area-VI (Bajaur Agency),National,1997
27,Malik Khanzeb,IND,45,0,78736,50089,1319,65%,NA-32 Tribal Area-VI (Bajaur Agency),National,1997
Winner,Abdul Latif Afridi,IND,16075,21,189533,74683,983,40%,NA-33 Tribal Area-VII (Khyber Agency),National,1997
2,Noor-ul-Haq Qadri,IND,14745,19,189533,74683,983,40%,NA-33 Tribal Area-VII (Khyber Agency),National,1997
3,Malik Darya Khan Zakhakhel,IND,7270,10,189533,74683,983,40%,NA-33 Tribal Area-VII (Khyber Agency),National,1997
4,Eng. Noor Alam,IND,6869,9,189533,74683,983,40%,NA-33 Tribal Area-VII (Khyber Agency),National,1997
5,Mian Gul Afridi,IND,5844,8,189533,74683,983,40%,NA-33 Tribal Area-VII (Khyber Agency),National,1997
6,Haji M. Shah Afridi,IND,4634,6,189533,74683,983,40%,NA-33 Tribal Area-VII (Khyber Agency),National,1997
7,Rashid Gul,IND,3182,4,189533,74683,983,40%,NA-33 Tribal Area-VII (Khyber Agency),National,1997
8,Imran Khan Afridi,IND,2764,4,189533,74683,983,40%,NA-33 Tribal Area-VII (Khyber Agency),National,1997
9,Sahabzada S. M. Umar Banori,IND,2485,3,189533,74683,983,40%,NA-33 Tribal Area-VII (Khyber Agency),National,1997
10,Haji Ahmad Khan Kukikhel,IND,2203,3,189533,74683,983,40%,NA-33 Tribal Area-VII (Khyber Agency),National,1997
11,Faizullah Shah,IND,1544,2,189533,74683,983,40%,NA-33 Tribal Area-VII (Khyber Agency),National,1997
12,Akhunzada M. Anwar,IND,1333,2,189533,74683,983,40%,NA-33 Tribal Area-VII (Khyber Agency),National,1997
13,Ali Akbar,IND,1063,1,189533,74683,983,40%,NA-33 Tribal Area-VII (Khyber Agency),National,1997
14,Pir Roohullah Shah Banori,IND,655,1,189533,74683,983,40%,NA-33 Tribal Area-VII (Khyber Agency),National,1997
15,Dr. Nusrat Ali Afridi,IND,584,1,189533,74683,983,40%,NA-33 Tribal Area-VII (Khyber Agency),National,1997
16,Saidra Hassan,IND,362,0,189533,74683,983,40%,NA-33 Tribal Area-VII (Khyber Agency),National,1997
17,Malik Waris Khan Afridi,IND,343,0,189533,74683,983,40%,NA-33 Tribal Area-VII (Khyber Agency),National,1997
18,Khursheed Khan Afridi,IND,320,0,189533,74683,983,40%,NA-33 Tribal Area-VII (Khyber Agency),National,1997
19,Abdul Rafiq,IND,282,0,189533,74683,983,40%,NA-33 Tribal Area-VII (Khyber Agency),National,1997
20,Haji Nawab Khan,IND,269,0,189533,74683,983,40%,NA-33 Tribal Area-VII (Khyber Agency),National,1997
21,Naveed Kamal,IND,266,0,189533,74683,983,40%,NA-33 Tribal Area-VII (Khyber Agency),National,1997
22,Afrasiab Afridi,IND,252,0,189533,74683,983,40%,NA-33 Tribal Area-VII (Khyber Agency),National,1997
23,Maj. (R) Bakhat H. Shinwari,IND,252,0,189533,74683,983,40%,NA-33 Tribal Area-VII (Khyber Agency),National,1997
24,Saif-ur-Rehman Shinwari,IND,245,0,189533,74683,983,40%,NA-33 Tribal Area-VII (Khyber Agency),National,1997
25,Rafiullah Shinwari,IND,229,0,189533,74683,983,40%,NA-33 Tribal Area-VII (Khyber Agency),National,1997
26,Saidan Shah Shinwari,IND,184,0,189533,74683,983,40%,NA-33 Tribal Area-VII (Khyber Agency),National,1997
27,Ziarat Khan Zakhakhel,IND,121,0,189533,74683,983,40%,NA-33 Tribal Area-VII (Khyber Agency),National,1997
28,M. Hashim Khan,IND,90,0,189533,74683,983,40%,NA-33 Tribal Area-VII (Khyber Agency),National,1997
29,Akhtar Jan,IND,89,0,189533,74683,983,40%,NA-33 Tribal Area-VII (Khyber Agency),National,1997
30,Sharbat Ali,IND,56,0,189533,74683,983,40%,NA-33 Tribal Area-VII (Khyber Agency),National,1997
31,Inayatullah Afridi,IND,51,0,189533,74683,983,40%,NA-33 Tribal Area-VII (Khyber Agency),National,1997
32,Khitab Gul Shinwari,IND,22,0,189533,74683,983,40%,NA-33 Tribal Area-VII (Khyber Agency),National,1997
Winner,Malik Haji Baz Gul Afridi,IND,16670,31,184840,53613,473,29%,NA-34 Tribal Area-VIII (Tribal areas attached to Peshawar Kohat Bannu Dera Ismail Khan Tank and Lakki Marwat districts),National,1997
2,Malik Noor Sher,IND,7057,13,184840,53613,473,29%,NA-34 Tribal Area-VIII (Tribal areas attached to Peshawar Kohat Bannu Dera Ismail Khan Tank and Lakki Marwat districts),National,1997
3,Said Khan,IND,5582,10,184840,53613,473,29%,NA-34 Tribal Area-VIII (Tribal areas attached to Peshawar Kohat Bannu Dera Ismail Khan Tank and Lakki Marwat districts),National,1997
4,Masood Khan Afridi,IND,4206,8,184840,53613,473,29%,NA-34 Tribal Area-VIII (Tribal areas attached to Peshawar Kohat Bannu Dera Ismail Khan Tank and Lakki Marwat districts),National,1997
5,M. Nadir Shah,IND,4045,7,184840,53613,473,29%,NA-34 Tribal Area-VIII (Tribal areas attached to Peshawar Kohat Bannu Dera Ismail Khan Tank and Lakki Marwat districts),National,1997
6,Syed Shakirullah Shah,IND,3189,6,184840,53613,473,29%,NA-34 Tribal Area-VIII (Tribal areas attached to Peshawar Kohat Bannu Dera Ismail Khan Tank and Lakki Marwat districts),National,1997
7,Said Wazir Khan,IND,2966,5,184840,53613,473,29%,NA-34 Tribal Area-VIII (Tribal areas attached to Peshawar Kohat Bannu Dera Ismail Khan Tank and Lakki Marwat districts),National,1997
8,Zahir Shah Storiani,IND,2554,5,184840,53613,473,29%,NA-34 Tribal Area-VIII (Tribal areas attached to Peshawar Kohat Bannu Dera Ismail Khan Tank and Lakki Marwat districts),National,1997
9,Haji M. Jan Khan Afridi,IND,2209,4,184840,53613,473,29%,NA-34 Tribal Area-VIII (Tribal areas attached to Peshawar Kohat Bannu Dera Ismail Khan Tank and Lakki Marwat districts),National,1997
10,Ibrahim Afridi,IND,1213,2,184840,53613,473,29%,NA-34 Tribal Area-VIII (Tribal areas attached to Peshawar Kohat Bannu Dera Ismail Khan Tank and Lakki Marwat districts),National,1997
11,Zahir Shah,IND,1090,2,184840,53613,473,29%,NA-34 Tribal Area-VIII (Tribal areas attached to Peshawar Kohat Bannu Dera Ismail Khan Tank and Lakki Marwat districts),National,1997
12,Malik Haji Feroz,IND,551,1,184840,53613,473,29%,NA-34 Tribal Area-VIII (Tribal areas attached to Peshawar Kohat Bannu Dera Ismail Khan Tank and Lakki Marwat districts),National,1997
13,Rooh-ul-Amin,IND,458,1,184840,53613,473,29%,NA-34 Tribal Area-VIII (Tribal areas attached to Peshawar Kohat Bannu Dera Ismail Khan Tank and Lakki Marwat districts),National,1997
14,Nasrullah,IND,414,1,184840,53613,473,29%,NA-34 Tribal Area-VIII (Tribal areas attached to Peshawar Kohat Bannu Dera Ismail Khan Tank and Lakki Marwat districts),National,1997
15,Taj Khan,IND,294,1,184840,53613,473,29%,NA-34 Tribal Area-VIII (Tribal areas attached to Peshawar Kohat Bannu Dera Ismail Khan Tank and Lakki Marwat districts),National,1997
16,Ghulam Hassan Afridi,IND,281,1,184840,53613,473,29%,NA-34 Tribal Area-VIII (Tribal areas attached to Peshawar Kohat Bannu Dera Ismail Khan Tank and Lakki Marwat districts),National,1997
17,Malik Taj Ali Afridi,IND,152,0,184840,53613,473,29%,NA-34 Tribal Area-VIII (Tribal areas attached to Peshawar Kohat Bannu Dera Ismail Khan Tank and Lakki Marwat districts),National,1997
18,M. Azam Afridi,IND,116,0,184840,53613,473,29%,NA-34 Tribal Area-VIII (Tribal areas attached to Peshawar Kohat Bannu Dera Ismail Khan Tank and Lakki Marwat districts),National,1997
19,Khunaikhel,IND,90,0,184840,53613,473,29%,NA-34 Tribal Area-VIII (Tribal areas attached to Peshawar Kohat Bannu Dera Ismail Khan Tank and Lakki Marwat districts),National,1997
20,Malik Haji Fateh Khan,IND,88,0,184840,53613,473,29%,NA-34 Tribal Area-VIII (Tribal areas attached to Peshawar Kohat Bannu Dera Ismail Khan Tank and Lakki Marwat districts),National,1997
21,Malik Said Amir,IND,87,0,184840,53613,473,29%,NA-34 Tribal Area-VIII (Tribal areas attached to Peshawar Kohat Bannu Dera Ismail Khan Tank and Lakki Marwat districts),National,1997
22,Tahoor-ul-Islam,IND,77,0,184840,53613,473,29%,NA-34 Tribal Area-VIII (Tribal areas attached to Peshawar Kohat Bannu Dera Ismail Khan Tank and Lakki Marwat districts),National,1997
23,Abdul Razzaq,IND,48,0,184840,53613,473,29%,NA-34 Tribal Area-VIII (Tribal areas attached to Peshawar Kohat Bannu Dera Ismail Khan Tank and Lakki Marwat districts),National,1997
24,Qayoom Khan,IND,48,0,184840,53613,473,29%,NA-34 Tribal Area-VIII (Tribal areas attached to Peshawar Kohat Bannu Dera Ismail Khan Tank and Lakki Marwat districts),National,1997
25,Noor Zaman,IND,40,0,184840,53613,473,29%,NA-34 Tribal Area-VIII (Tribal areas attached to Peshawar Kohat Bannu Dera Ismail Khan Tank and Lakki Marwat districts),National,1997
26,Jan Bahadur Khan,IND,31,0,184840,53613,473,29%,NA-34 Tribal Area-VIII (Tribal areas attached to Peshawar Kohat Bannu Dera Ismail Khan Tank and Lakki Marwat districts),National,1997
27,Malik Anayatullah Afridi,IND,26,0,184840,53613,473,29%,NA-34 Tribal Area-VIII (Tribal areas attached to Peshawar Kohat Bannu Dera Ismail Khan Tank and Lakki Marwat districts),National,1997
28,Javed Iqbal,IND,23,0,184840,53613,473,29%,NA-34 Tribal Area-VIII (Tribal areas attached to Peshawar Kohat Bannu Dera Ismail Khan Tank and Lakki Marwat districts),National,1997
29,Malik Haji Gul Wali Khan,IND,8,0,184840,53613,473,29%,NA-34 Tribal Area-VIII (Tribal areas attached to Peshawar Kohat Bannu Dera Ismail Khan Tank and Lakki Marwat districts),National,1997
Winner,Syed Zafar Ali Shah,PML-N,67500,64,228651,104199,1065,46%,NA-35 Islamabad,National,1997
2,Syed Nayyar Hussain Bokhari,PPP,29847,28,228651,104199,1065,46%,NA-35 Islamabad,National,1997
3,Imran Khan,PTI,5868,6,228651,104199,1065,46%,NA-35 Islamabad,National,1997
4,Wasaal Ahmad Shahid,HPG,577,1,228651,104199,1065,46%,NA-35 Islamabad,National,1997
5,Nadeem Mukhtar Ch.,IND,407,0,228651,104199,1065,46%,NA-35 Islamabad,National,1997
Winner,Shahid Khaqan Abbasi,PML-N,65194,59,284796,108348,2985,39%,NA-36 Rawalpindi-I,National,1997
2,Z. Babar Awan Adv.,PML-J Chattha,21768,20,284796,108348,2985,39%,NA-36 Rawalpindi-I,National,1997
3,Javed Iqbal Satti,IND,21386,19,284796,108348,2985,39%,NA-36 Rawalpindi-I,National,1997
Winner,Ch .M. Khurshid Zaman,PML-N,75567,60,285110,124620,2288,45%,NA-37 Rawalpindi-II,National,1997
2,Raja Pervaiz Ashraf,PPP,44511,35,285110,124620,2288,45%,NA-37 Rawalpindi-II,National,1997
3,Malik Khalid Mazhar,PTI,3291,3,285110,124620,2288,45%,NA-37 Rawalpindi-II,National,1997
4,Zahoor Alam Bhatti,PPP-SB,1251,1,285110,124620,2288,45%,NA-37 Rawalpindi-II,National,1997
Winner,Sheikh Rasheed Ahmad,PML-N,72183,66,326699,107750,1460,33%,NA-38 Rawalpindi-III,National,1997
2,Naheed Khan,PPP,24714,23,326699,107750,1460,33%,NA-38 Rawalpindi-III,National,1997
3,Badshah Mir Khan Afridi,IND,6228,6,326699,107750,1460,33%,NA-38 Rawalpindi-III,National,1997
4,M. Akmal Mirza,PTI,3806,3,326699,107750,1460,33%,NA-38 Rawalpindi-III,National,1997
5,Haji M. Salim Khan Cheema,PML-J,669,1,326699,107750,1460,33%,NA-38 Rawalpindi-III,National,1997
6,A. Z. Malik Abdul Hameed,IND,150,0,326699,107750,1460,33%,NA-38 Rawalpindi-III,National,1997
Winner,M. Ijaz-ul-Haq,PML-N,87392,69,332222,125485,1344,38%,NA-39 Rawalpindi-IV,National,1997
2,Raja Shahid Zafar,PPP,31838,25,332222,125485,1344,38%,NA-39 Rawalpindi-IV,National,1997
3,Ch. Zamurrad Hussain Adv.,PTI,5174,4,332222,125485,1344,38%,NA-39 Rawalpindi-IV,National,1997
4,Safia Yameen,IND,754,1,332222,125485,1344,38%,NA-39 Rawalpindi-IV,National,1997
5,Talib Hussain Qureshi Adv.,JUP-Noorani,188,0,332222,125485,1344,38%,NA-39 Rawalpindi-IV,National,1997
6,Syed Imtiaz Hussain Bokhari,IND,139,0,332222,125485,1344,38%,NA-39 Rawalpindi-IV,National,1997
Winner,Ch. Nisar Ali Khan,PML-N,79255,62,262338,125094,2214,49%,NA-40 Rawalpindi-V,National,1997
2,Sardar Shoaib Mumtaz Khan,PPP,41008,32,262338,125094,2214,49%,NA-40 Rawalpindi-V,National,1997
3,Ch. Ghulam Jilani,PTI,3588,3,262338,125094,2214,49%,NA-40 Rawalpindi-V,National,1997
4,Abdul Qadir Khan,HPG,1243,1,262338,125094,2214,49%,NA-40 Rawalpindi-V,National,1997
Winner,Sheikh Aftab Ahmad,PML-N,67275,58,264819,111749,3351,43%,NA-41 Attock-I,National,1997
2,Malik M. Aslam Khan,PPP,35204,31,264819,111749,3351,43%,NA-41 Attock-I,National,1997
3,Hafiz M. Saeed,IND,4094,4,264819,111749,3351,43%,NA-41 Attock-I,National,1997
4,Eng. Raees Ahmad Khan,PTI,3416,3,264819,111749,3351,43%,NA-41 Attock-I,National,1997
5,Maqbool Illahi Siddiqi,IND,1760,2,264819,111749,3351,43%,NA-41 Attock-I,National,1997
Winner,Malik Lal Khan,PML-N,83921,55,298851,148488,4265,51%,NA-42 Attock-II,National,1997
2,Malik Atta Muhammad,PPP,60319,39,298851,148488,4265,51%,NA-42 Attock-II,National,1997
3,Khaki Jan,PTI,4248,3,298851,148488,4265,51%,NA-42 Attock-II,National,1997
Winner,Lt. Gen. (R) Malik Abdul Majeed,PML-N,84900,68,304055,122811,2364,41%,NA-43 Chakwal-I,National,1997
2,Raja Munawar Ahmad,PPP,32293,26,304055,122811,2364,41%,NA-43 Chakwal-I,National,1997
3,Ch. M. Ali Khan,IND,2977,2,304055,122811,2364,41%,NA-43 Chakwal-I,National,1997
4,Syed M. Asghar Ali Shah,PTI,1671,1,304055,122811,2364,41%,NA-43 Chakwal-I,National,1997
5,Syed Munawar Hussain Naqvi,IND,336,0,304055,122811,2364,41%,NA-43 Chakwal-I,National,1997
6,M. Salim Asghar,IND,318,0,304055,122811,2364,41%,NA-43 Chakwal-I,National,1997
7,Amanullah Khan,IND,316,0,304055,122811,2364,41%,NA-43 Chakwal-I,National,1997
Winner,Sardar Mansoor Hayat Tamman,PML-N,85228,61,285887,135529,3930,49%,NA-44 Chakwal-II,National,1997
2,N Fozia Behram,PML-J Chattha,45615,33,285887,135529,3930,49%,NA-44 Chakwal-II,National,1997
3,Alhaj Malik M. Hayat,PTI,2974,2,285887,135529,3930,49%,NA-44 Chakwal-II,National,1997
4,Malik Lal Khan,IND,1712,1,285887,135529,3930,49%,NA-44 Chakwal-II,National,1997
Winner,Raja M. Afazal Khan,PML-N,73212,66,238815,109068,2484,47%,NA-45 Jhelum-I,National,1997
2,Ch. Farrukh Altaf,PPP,32097,29,238815,109068,2484,47%,NA-45 Jhelum-I,National,1997
3,M. Riaz Malik,PTI,2801,3,238815,109068,2484,47%,NA-45 Jhelum-I,National,1997
4,Abdul Majeed Maloot,IND,958,1,238815,109068,2484,47%,NA-45 Jhelum-I,National,1997
Winner,Nawabzada Iqbal Mehdi Khan,PML-N,60237,60,234975,97440,2951,43%,NA-46 Jhelum-II,National,1997
2,Raja Nasir Ali Khan,PPP,31346,31,234975,97440,2951,43%,NA-46 Jhelum-II,National,1997
3,Raja Fayyaz Asif,PPP-ZAB,2549,3,234975,97440,2951,43%,NA-46 Jhelum-II,National,1997
4,Tahir Asif Ch.,PTI,2077,2,234975,97440,2951,43%,NA-46 Jhelum-II,National,1997
5,Mazhar Hussain Mirza,PML-Q Shuja,1231,1,234975,97440,2951,43%,NA-46 Jhelum-II,National,1997
Winner,Adnan Hayat Noon,PML-N,58284,55,264470,104396,2354,40%,NA-47 Sargodha-I,National,1997
2,Inam-ul-Haq Paracha,PPP,42192,40,264470,104396,2354,40%,NA-47 Sargodha-I,National,1997
3,Ishfaq Akhtar,PTI,1610,2,264470,104396,2354,40%,NA-47 Sargodha-I,National,1997
4,Ch. M. Afzal Gondal,IND,968,1,264470,104396,2354,40%,NA-47 Sargodha-I,National,1997
5,Haroon Ehsan Paracha,IND,777,1,264470,104396,2354,40%,NA-47 Sargodha-I,National,1997
6,Ch. M. Iqbal Ramay,IND,565,1,264470,104396,2354,40%,NA-47 Sargodha-I,National,1997
Winner,Ch. Ghias Ahmad Mela,PML-N,56948,55,266838,101583,2822,39%,NA-48 Sargodha-II,National,1997
2,Mian Manazir Ali Ranjha,PPP,38573,37,266838,101583,2822,39%,NA-48 Sargodha-II,National,1997
3,Rana M. Yaseen,IND,2311,2,266838,101583,2822,39%,NA-48 Sargodha-II,National,1997
4,Riaz Ahmad Ranjha,PTI,1221,1,266838,101583,2822,39%,NA-48 Sargodha-II,National,1997
5,M. Hussain Warraich,IND,710,1,266838,101583,2822,39%,NA-48 Sargodha-II,National,1997
6,Rao Abdul Ghaffar Khan,IND,657,1,266838,101583,2822,39%,NA-48 Sargodha-II,National,1997
7,Col. (R) Malik Fazl-ur-Rehman,IND,491,0,266838,101583,2822,39%,NA-48 Sargodha-II,National,1997
8,Mian Saif Ahmad Ranjha,IND,402,0,266838,101583,2822,39%,NA-48 Sargodha-II,National,1997
9,Ch. Shah Nawaz Ranjha,IND,270,0,266838,101583,2822,39%,NA-48 Sargodha-II,National,1997
Winner,Ch. Abdul Hameed,PML-N,67824,62,275100,107793,1810,40%,NA-49 Sargodha-III,National,1997
2,Malik M. Aslam Kachila,PPP,37104,34,275100,107793,1810,40%,NA-49 Sargodha-III,National,1997
3,M. Zulfiqar Anwar Bajwa,PTI,1333,1,275100,107793,1810,40%,NA-49 Sargodha-III,National,1997
4,M. Anwar Khurshid,IND,595,1,275100,107793,1810,40%,NA-49 Sargodha-III,National,1997
5,Hafiz Abdul Rauf,IND,460,0,275100,107793,1810,40%,NA-49 Sargodha-III,National,1997
6,Akhtar Salim Qureshi,IND,353,0,275100,107793,1810,40%,NA-49 Sargodha-III,National,1997
7,Malik Khizar Hayat Awan,IND,124,0,275100,107793,1810,40%,NA-49 Sargodha-III,National,1997
Winner,Ch. Anwar Ali Cheema,PML-N,73825,58,275435,122518,4038,46%,NA-50 Sargodha-IV,National,1997
2,Siraj Din Gujjar,PPP,31527,25,275435,122518,4038,46%,NA-50 Sargodha-IV,National,1997
3,Sahabzada Ghulam Naseeruddin Sialvi,IND,6535,5,275435,122518,4038,46%,NA-50 Sargodha-IV,National,1997
4,Syed Nusrat Ali Shah,PML-J,6459,5,275435,122518,4038,46%,NA-50 Sargodha-IV,National,1997
5,M. Bilal,IND,2169,2,275435,122518,4038,46%,NA-50 Sargodha-IV,National,1997
6,Ch.Tahir Javed Arain,PTI,1203,1,275435,122518,4038,46%,NA-50 Sargodha-IV,National,1997
7,Riaz Amir alias Abdul Haq,IND,800,1,275435,122518,4038,46%,NA-50 Sargodha-IV,National,1997
Winner,Malik Umer Aslam,PML-N,79666,58,312081,133276,4532,44%,NA-51 Sargodha-cum-Khushab,National,1997
2,Tanveer Sultan Awan,IND,36617,27,312081,133276,4532,44%,NA-51 Sargodha-cum-Khushab,National,1997
3,Asif Hussain Virk,PPP,11421,8,312081,133276,4532,44%,NA-51 Sargodha-cum-Khushab,National,1997
4,M. Aslam Awan,PTI,3917,3,312081,133276,4532,44%,NA-51 Sargodha-cum-Khushab,National,1997
5,Musarrat Nazir,IND,1655,1,312081,133276,4532,44%,NA-51 Sargodha-cum-Khushab,National,1997
Winner,Sardar Shuja M. Khan,PML-N,68959,57,270891,118991,2912,45%,NA-52 Khushab,National,1997
2,Malik Ghulam M. Tiwana,IND,44805,37,270891,118991,2912,45%,NA-52 Khushab,National,1997
3,Iftikhar Hussain Aheer,PPP,3137,3,270891,118991,2912,45%,NA-52 Khushab,National,1997
4,Sardar Naveed Haider Khan,PTI,2090,2,270891,118991,2912,45%,NA-52 Khushab,National,1997
Winner,M. Maqbool Ahmad Khan,PML-N,39147,37,262634,101726,3998,40%,NA-53 Mianwali-I,National,1997
2,Obaidullah Khan Shadikhel,PML-Q Shuja,36201,34,262634,101726,3998,40%,NA-53 Mianwali-I,National,1997
3,Imran Khan,PTI,17859,17,262634,101726,3998,40%,NA-53 Mianwali-I,National,1997
4,Gul Hamid Khan Rokhri,IND,5650,5,262634,101726,3998,40%,NA-53 Mianwali-I,National,1997
5,Abdul Rahman,IND,1831,2,262634,101726,3998,40%,NA-53 Mianwali-I,National,1997
6,Shafaullah Khan,IND,488,0,262634,101726,3998,40%,NA-53 Mianwali-I,National,1997
7,Mursaleen Khan Khattak,IND,379,0,262634,101726,3998,40%,NA-53 Mianwali-I,National,1997
8,Sardar Rafiq Khan,IND,171,0,262634,101726,3998,40%,NA-53 Mianwali-I,National,1997
Winner,Inamullah Khan,PML-N,53861,48,236829,109253,3237,47%,NA-54 Mianwali-II,National,1997
2,M. Humair Hayat Rokhri,IND,29638,26,236829,109253,3237,47%,NA-54 Mianwali-II,National,1997
3,Dr. Sher Afgan Khan Niazi,PPP,20758,18,236829,109253,3237,47%,NA-54 Mianwali-II,National,1997
4,Abdul Aziz Khan,NPP,3640,3,236829,109253,3237,47%,NA-54 Mianwali-II,National,1997
5,Sardar Rafiq Khan,IND,1356,1,236829,109253,3237,47%,NA-54 Mianwali-II,National,1997
Winner,M. Asghar Khan,IND,59584,48,235354,120530,3112,53%,NA-55 Bhakkar-I,National,1997
2,M. Zafarullah Khan,PML-N,58382,47,235354,120530,3112,53%,NA-55 Bhakkar-I,National,1997
3,Shafaullah Khan,IND,1834,1,235354,120530,3112,53%,NA-55 Bhakkar-I,National,1997
4,M. Arshad Faqir,HPG,730,1,235354,120530,3112,53%,NA-55 Bhakkar-I,National,1997
Winner,M. Zafarullah Khan Dhandla,PML-N,60419,50,218328,118881,2543,56%,NA-56 Bhakkar-II,National,1997
2,Rashid Akbar Khan,IND,58462,48,218328,118881,2543,56%,NA-56 Bhakkar-II,National,1997
Winner,Rana Zahid Tauseef,PML-N,72214,63,266017,111681,3438,43%,NA-57 Faisalabad-I,National,1997
2,Syed M. Makhdoom,IND,19048,17,266017,111681,3438,43%,NA-57 Faisalabad-I,National,1997
3,Mian Zahid Sarfraz,PML-J Chattha,18977,16,266017,111681,3438,43%,NA-57 Faisalabad-I,National,1997
4,Mian Abdul Saboor Tariq,PTI,1442,1,266017,111681,3438,43%,NA-57 Faisalabad-I,National,1997
Winner,Rai Salahuddin Khan,PML-N,56668,58,262846,95025,3244,37%,NA-58 Faisalabad-II,National,1997
2,Rai Ijaz Hussain,PPP,30032,31,262846,95025,3244,37%,NA-58 Faisalabad-II,National,1997
3,Rai M. Jaffar Khan,IND,4414,4,262846,95025,3244,37%,NA-58 Faisalabad-II,National,1997
4,M. Hayat Khan,PTI,2194,2,262846,95025,3244,37%,NA-58 Faisalabad-II,National,1997
5,Ch. Manzoor Ali,IND,1717,2,262846,95025,3244,37%,NA-58 Faisalabad-II,National,1997
Winner,Alhaj Mian Nasir Ali Khan,PML-N,46339,45,267010,98493,4880,39%,NA-59 Faisalabad-III,National,1997
2,Zahoor Ahmad Shah,PML-J,22469,22,267010,98493,4880,39%,NA-59 Faisalabad-III,National,1997
3,Khan Shahadat Ali Khan Baloch,PPP,19869,19,267010,98493,4880,39%,NA-59 Faisalabad-III,National,1997
4,Mehar Maqbool Ahmad Fatiana,IND,5230,5,267010,98493,4880,39%,NA-59 Faisalabad-III,National,1997
5,Rao Khizar Hayat Khan,PTI,1625,2,267010,98493,4880,39%,NA-59 Faisalabad-III,National,1997
6,Mian Shabbir Hassan Khan,IND,1252,1,267010,98493,4880,39%,NA-59 Faisalabad-III,National,1997
7,Zulfiqar Ali,IND,867,1,267010,98493,4880,39%,NA-59 Faisalabad-III,National,1997
8,M. Iqbal,IND,615,1,267010,98493,4880,39%,NA-59 Faisalabad-III,National,1997
9,Molana Ziauddin Azad,IND,227,0,267010,98493,4880,39%,NA-59 Faisalabad-III,National,1997
Winner,Safdar-ur-Rehman,PML-N,69246,71,247825,95515,2002,39%,NA-60 Faisalabad-IV,National,1997
2,Ch. M. Abdullah Ghazi,PML-J Chattha,16850,17,247825,95515,2002,39%,NA-60 Faisalabad-IV,National,1997
