Constituency,PTI,PML-N,PPPP,MMA,TLP,PML-Q,Ch.Nissar,ANP,IND,QWP,AML,PML-Z,Pakistan Awami Raj,Other parties
NA-107,38,30,0,0,0,0,0,0,0,0,0,0,0,32
NA-108,37,58,0,0,0,0,0,0,0,0,0,0,0,5
NA-109,45,39,0,0,0,0,0,0,0,0,0,0,0,16
NA-110,35,45,0,0,0,0,0,0,0,0,0,0,0,20
NA-111,44,34,0,0,0,0,0,0,0,0,0,0,0,22
NA-112,46,38,0,0,0,0,0,0,0,0,0,0,0,16
NA-113,51,38,0,0,0,0,0,0,0,0,0,0,0,0
NA-114,35,0,40,0,0,0,0,0,0,0,0,0,0,25
NA-115,37,0,0,0,0,0,0,0,40,0,0,0,0,23
NA-116,40,0,0,0,0,0,0,0,35,0,0,0,0,25
NA-117,34,45,0,0,0,0,0,0,0,0,0,0,0,21
NA-118,38,20,10,0,0,0,0,0,0,0,0,0,0,0
NA-119,45,40,0,0,0,0,0,0,0,0,0,0,0,15
NA-120,41,44,0,0,15,0,0,0,0,0,0,0,0,0
NA-121,25,46,15,0,0,0,0,0,0,0,0,0,0,14
NA-122,26,42,0,0,13,0,0,0,0,0,0,0,0,19
NA-123,46,40,0,0,0,0,0,0,0,0,0,0,0,14
NA-124,21,42,0,0,11,0,0,0,0,0,0,0,0,26
NA-125,48,47,0,0,0,0,0,0,0,0,0,0,0,5
NA-126,34,58,0,0,0,0,0,0,0,0,0,0,0,8
NA-127,40,50,0,0,0,0,0,0,0,0,0,0,0,10
NA-128,45,47,0,0,0,0,0,0,0,0,0,0,0,8
NA-129,45,47,0,0,0,0,0,0,0,0,0,0,0,8
NA-130,48,47,0,0,0,0,0,0,0,0,0,0,0,5
NA-131,48,47,0,0,0,0,0,0,0,0,0,0,0,5
NA-132,22,63,0,0,0,0,0,0,0,0,0,0,0,8
NA-133,40,50,0,0,0,0,0,0,0,0,0,0,0,10
NA-134,32,47,0,0,0,0,0,0,0,0,0,0,0,21
NA-135,44,42,0,0,0,0,0,0,0,0,0,0,0,14
NA-136,41,45,0,0,0,0,0,0,0,0,0,0,0,14
NA-137,25,35,0,0,0,0,0,0,0,0,0,0,0,40
NA-138,36,56,0,0,0,0,0,0,0,0,0,0,0,8
NA-139,57,37,0,0,0,0,0,0,0,0,0,0,0,7
NA-140,37,40,0,0,0,0,0,0,0,0,0,0,0,23
NA-141,27,24,0,0,0,0,0,0,27,0,0,0,0,0
NA-142,26,72,0,0,0,0,0,0,0,0,0,0,0,2
NA-143,31,62,0,0,0,0,0,0,0,0,0,0,0,7
NA-144,0,55,0,0,0,0,0,0,36,0,0,0,0,9
NA-145,38,45,0,0,0,0,0,0,0,0,0,0,0,22
NA-146,39,41,0,0,0,0,0,0,0,0,0,0,0,20
NA-147,40,45,0,0,0,0,0,0,0,0,0,0,0,15
NA-148,36,40,0,0,0,0,0,0,0,0,0,0,0,24
NA-149,55,35,0,0,0,0,0,0,0,0,0,0,0,10
NA-150,47,10,0,0,0,0,0,0,41,0,0,0,0,2
NA-151,39,41,0,0,0,0,0,0,0,0,0,0,0,20
NA-152,43,48,0,0,0,0,0,0,0,0,0,0,0,9
