PML-N,108
PTI,68
IND,35
TLP,13
MMA,8
GDA,6
SUP,6
ANP,6
PPPP,3
MQM,2
PSP,2
Allah-o-Akbar Tehreek,2
APML,2
BNP,2
Mohajir Qumi Movement Pakistan,1
Jamiat Ulama-e-Pakistan,1
Jannat Pakistan Party,1
Jamiat Ulama-e-Islam Pakistan (S),1
Pakistan Freedom Movement,1
Allah O Akbar Tehreek,1
PKMAP,1
